Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
Starlink-1313;USA;USA;SpaceX;Commercial;Communications
Starlink-1316;USA;USA;SpaceX;Commercial;Communications
Starlink-1317;USA;USA;SpaceX;Commercial;Communications
Starlink-1318;USA;USA;SpaceX;Commercial;Communications
Starlink-1319;USA;USA;SpaceX;Commercial;Communications
Starlink-1320;USA;USA;SpaceX;Commercial;Communications
Starlink-1321;USA;USA;SpaceX;Commercial;Communications
Starlink-1322;USA;USA;SpaceX;Commercial;Communications
Starlink-1323;USA;USA;SpaceX;Commercial;Communications
Starlink-1324;USA;USA;SpaceX;Commercial;Communications
Starlink-1325;USA;USA;SpaceX;Commercial;Communications
Starlink-1326;USA;USA;SpaceX;Commercial;Communications
Starlink-1327;USA;USA;SpaceX;Commercial;Communications
Starlink-1328;USA;USA;SpaceX;Commercial;Communications
Starlink-1329;USA;USA;SpaceX;Commercial;Communications
Starlink-1330;USA;USA;SpaceX;Commercial;Communications
Starlink-1331;USA;USA;SpaceX;Commercial;Communications
Starlink-1332;USA;USA;SpaceX;Commercial;Communications
Starlink-1333;USA;USA;SpaceX;Commercial;Communications
Starlink-1334;USA;USA;SpaceX;Commercial;Communications
Starlink-1335;USA;USA;SpaceX;Commercial;Communications
Starlink-1336;USA;USA;SpaceX;Commercial;Communications
Starlink-1337;USA;USA;SpaceX;Commercial;Communications
Starlink-1338;USA;USA;SpaceX;Commercial;Communications
Starlink-1339;USA;USA;SpaceX;Commercial;Communications
Starlink-1340;USA;USA;SpaceX;Commercial;Communications
Starlink-1341;USA;USA;SpaceX;Commercial;Communications
Starlink-1342;USA;USA;SpaceX;Commercial;Communications
Starlink-1343;USA;USA;SpaceX;Commercial;Communications
Starlink-1344;USA;USA;SpaceX;Commercial;Communications
Starlink-1346;USA;USA;SpaceX;Commercial;Communications
Starlink-1347;USA;USA;SpaceX;Commercial;Communications
Starlink-1348;USA;USA;SpaceX;Commercial;Communications
Starlink-1349;USA;USA;SpaceX;Commercial;Communications
Starlink-1350;USA;USA;SpaceX;Commercial;Communications
Starlink-1351 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1352;USA;USA;SpaceX;Commercial;Communications
Starlink-1353;USA;USA;SpaceX;Commercial;Communications
Starlink-1354;USA;USA;SpaceX;Commercial;Communications
Starlink-1355;USA;USA;SpaceX;Commercial;Communications
Starlink-1356;USA;USA;SpaceX;Commercial;Communications
Starlink-1357;USA;USA;SpaceX;Commercial;Communications
Starlink-1358;USA;USA;SpaceX;Commercial;Communications
Starlink-1360;USA;USA;SpaceX;Commercial;Communications
Starlink-1361;USA;USA;SpaceX;Commercial;Communications
Starlink-1362;USA;USA;SpaceX;Commercial;Communications
Starlink-1363;USA;USA;SpaceX;Commercial;Communications
Starlink-1364;USA;USA;SpaceX;Commercial;Communications
Starlink-1365;USA;USA;SpaceX;Commercial;Communications
Starlink-1366;USA;USA;SpaceX;Commercial;Communications
Starlink-1367;USA;USA;SpaceX;Commercial;Communications
Starlink-1368;USA;USA;SpaceX;Commercial;Communications
Starlink-1369;USA;USA;SpaceX;Commercial;Communications
Starlink-1370;USA;USA;SpaceX;Commercial;Communications
Starlink-1371;USA;USA;SpaceX;Commercial;Communications
Starlink-1372;USA;USA;SpaceX;Commercial;Communications
Starlink-1373;USA;USA;SpaceX;Commercial;Communications
Starlink-1374;USA;USA;SpaceX;Commercial;Communications
Starlink-1375;USA;USA;SpaceX;Commercial;Communications
Starlink-1376;USA;USA;SpaceX;Commercial;Communications
Starlink-1377;USA;USA;SpaceX;Commercial;Communications
Starlink-1378;USA;USA;SpaceX;Commercial;Communications
Starlink-1390;USA;USA;SpaceX;Commercial;Communications
Starlink-1391 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1392;USA;USA;SpaceX;Commercial;Communications
Starlink-1393;USA;USA;SpaceX;Commercial;Communications
Starlink-1394 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1395;USA;USA;SpaceX;Commercial;Communications
Starlink-1396;USA;USA;SpaceX;Commercial;Communications
Starlink-1397;USA;USA;SpaceX;Commercial;Communications
Starlink-1398;USA;USA;SpaceX;Commercial;Communications
Starlink-1399 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1400;USA;USA;SpaceX;Commercial;Communications
Starlink-1401;USA;USA;SpaceX;Commercial;Communications
Starlink-1402;USA;USA;SpaceX;Commercial;Communications
Starlink-1403;USA;USA;SpaceX;Commercial;Communications
Starlink-1404;USA;USA;SpaceX;Commercial;Communications
Starlink-1405;USA;USA;SpaceX;Commercial;Communications
Starlink-1407;USA;USA;SpaceX;Commercial;Communications
Starlink-1408;USA;USA;SpaceX;Commercial;Communications
Starlink-1409;USA;USA;SpaceX;Commercial;Communications
Starlink-1410;USA;USA;SpaceX;Commercial;Communications
Starlink-1411;USA;USA;SpaceX;Commercial;Communications
Starlink-1412;USA;USA;SpaceX;Commercial;Communications
Starlink-1413;USA;USA;SpaceX;Commercial;Communications
Starlink-1414 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1415;USA;USA;SpaceX;Commercial;Communications
Starlink-1416;USA;USA;SpaceX;Commercial;Communications
Starlink-1417;USA;USA;SpaceX;Commercial;Communications
Starlink-1418;USA;USA;SpaceX;Commercial;Communications
Starlink-1419;USA;USA;SpaceX;Commercial;Communications
Starlink-1420;USA;USA;SpaceX;Commercial;Communications
Starlink-1421 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1422 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1423 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1433 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1434 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1436 (VisorSat);USA;USA;SpaceX;Commercial;Communications
Starlink-1437;USA;USA;SpaceX;Commercial;Communications
Starlink-1438;USA;USA;SpaceX;Commercial;Communications
Starlink-1441;USA;USA;SpaceX;Commercial;Communications
Starlink-1442 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1443;USA;USA;SpaceX;Commercial;Communications
Starlink-1444 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1445;USA;USA;SpaceX;Commercial;Communications
Starlink-1446;USA;USA;SpaceX;Commercial;Communications
Starlink-1448;USA;USA;SpaceX;Commercial;Communications
Starlink-1449;USA;USA;SpaceX;Commercial;Communications
Starlink-1450;USA;USA;SpaceX;Commercial;Communications
Starlink-1451 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1452 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1453 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1454 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1455;USA;USA;SpaceX;Commercial;Communications
Starlink-1456 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1457;USA;USA;SpaceX;Commercial;Communications
Starlink-1458 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1459 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1460 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1461;USA;USA;SpaceX;Commercial;Communications
Starlink-1462 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1463 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1464 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1465 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1466 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1467;USA;USA;SpaceX;Commercial;Communications
Starlink-1468;USA;USA;SpaceX;Commercial;Communications
Starlink-1469;USA;USA;SpaceX;Commercial;Communications
Starlink-1470;USA;USA;SpaceX;Commercial;Communications
Starlink-1471;USA;USA;SpaceX;Commercial;Communications
Starlink-1472 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1474 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1475;USA;USA;SpaceX;Commercial;Communications
Starlink-1476;USA;USA;SpaceX;Commercial;Communications
Starlink-1477;USA;USA;SpaceX;Commercial;Communications
Starlink-1478 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1479 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1480;USA;USA;SpaceX;Commercial;Communications
Starlink-1481;USA;USA;SpaceX;Commercial;Communications
Starlink-1482 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1483 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1484;USA;USA;SpaceX;Commercial;Communications
Starlink-1485 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1486;USA;USA;SpaceX;Commercial;Communications
Starlink-1487 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1488 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1489 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1490 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1491;USA;USA;SpaceX;Commercial;Communications
Starlink-1492 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1493 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1494;USA;USA;SpaceX;Commercial;Communications
Starlink-1495 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1496;USA;USA;SpaceX;Commercial;Communications
Starlink-1497 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1498;USA;USA;SpaceX;Commercial;Communications
Starlink-1499;USA;USA;SpaceX;Commercial;Communications
Starlink-1500;USA;USA;SpaceX;Commercial;Communications
Starlink-1501;USA;USA;SpaceX;Commercial;Communications
Starlink-1502;USA;USA;SpaceX;Commercial;Communications
Starlink-1503 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1504;USA;USA;SpaceX;Commercial;Communications
Starlink-1505 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1506 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1507 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1509 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1510 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1511 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1512;USA;USA;SpaceX;Commercial;Communications
Starlink-1513 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1514 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1515 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1517 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1521 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1522 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1523 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1524 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1525 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1526 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1527 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1528 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1529 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1530 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1531 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1532 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1533 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1534 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1536;USA;USA;SpaceX;Commercial;Communications
Starlink-1538 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1539 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1540 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1541 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1542 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1543 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1544 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1545 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1546;USA;USA;SpaceX;Commercial;Communications
Starlink-1547;USA;USA;SpaceX;Commercial;Communications
Starlink-1548 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1549 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1550;USA;USA;SpaceX;Commercial;Communications
Starlink-1551 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1552 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1553;USA;USA;SpaceX;Commercial;Communications
Starlink-1554 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1555 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1556 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1557 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1558 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1559 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1560 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1561 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1562 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1563 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1564 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1565 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1566 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1567 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1568 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1569 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1570 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1571 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1572 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1573 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1574 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1575;USA;USA;SpaceX;Commercial;Communications
Starlink-1576 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1577 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1578 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1579 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1580 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1581 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1582 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1583 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1584 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1585 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1586 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1587 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1588 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1589 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1590 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1591 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1593 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1594 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1595 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1596 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1597 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1598 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1600 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1601 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1602 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1603 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1604 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1605 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1606 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1607 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1608 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1609 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1610 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1611 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1612 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1613 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1614 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1615 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1616 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1617 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1618 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1619 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1620 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1621 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1622 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1623 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1624 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1625 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1626 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1627 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1628 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1629 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1630 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1631 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1633 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1634 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1635 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1636 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1637 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1638 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1639 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1640 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1641 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1642 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1643 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1644 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1645 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1646;USA;USA;SpaceX;Commercial;Communications
Starlink-1647 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1648 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1649 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1650 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1651;USA;USA;SpaceX;Commercial;Communications
Starlink-1653;USA;USA;SpaceX;Commercial;Communications
Starlink-1654 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1655 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1656;USA;USA;SpaceX;Commercial;Communications
Starlink-1657;USA;USA;SpaceX;Commercial;Communications
Starlink-1658;USA;USA;SpaceX;Commercial;Communications
Starlink-1659 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1660 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1661;USA;USA;SpaceX;Commercial;Communications
Starlink-1663 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1664 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1665;USA;USA;SpaceX;Commercial;Communications
Starlink-1666;USA;USA;SpaceX;Commercial;Communications
Starlink-1667 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1669 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1670;USA;USA;SpaceX;Commercial;Communications
Starlink-1671 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1672 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1673;USA;USA;SpaceX;Commercial;Communications
Starlink-1675 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1676 ;USA;USA;SpaceX;Commercial;Communications
Starlink-1677 ;USA;USA;SpaceX;Commercial;Communications
